k;d;avg;% of mispr
59;1;32.21269;0.565926
59;2;32.399524;0.424396
59;3;34.075894;0.339597
59;4;34.795752;0.282998
59;5;36.110608;0.242627
59;6;35.51686;0.212336
59;7;38.39275;0.188777
59;8;40.439766;0.169869
59;9;43.28509;0.154463
59;10;38.856474;0.141541
60;0;31.696836;0.834583
60;1;32.181404;0.556459
60;2;32.956472;0.417371
60;3;34.030262;0.334177
60;4;35.40137;0.278281
60;5;36.003794;0.23857
60;6;36.184962;0.208736
60;7;38.33833;0.185533
60;8;40.28881;0.167039
60;9;43.178046;0.151863
60;10;38.537996;0.139191
61;0;31.543606;0.820834
61;1;32.18477;0.547293
61;2;32.979464;0.410596
61;3;33.78664;0.328457
61;4;34.492308;0.273782
61;5;35.913628;0.234713
61;6;35.682806;0.205399
61;7;38.17111;0.182677
61;8;39.866478;0.164279
61;9;43.144916;0.149445
61;10;38.440018;0.136925
62;0;31.526644;0.807784
62;1;32.05144;0.538626
62;2;32.640062;0.403896
62;3;33.820382;0.323117
62;4;35.084854;0.269265
62;5;35.78264;0.230927
62;6;35.774034;0.202074
62;7;38.806694;0.179533
62;8;40.566608;0.161639
62;9;42.653818;0.14699
62;10;38.835358;0.134741
63;0;31.370856;0.794734
63;1;32.086662;0.52996
63;2;32.991648;0.397671
63;3;34.05113;0.318077
63;4;35.023388;0.265032
63;5;36.00075;0.22727
63;6;35.832946;0.198824
63;7;38.407456;0.176755
63;8;40.35906;0.159099
63;9;42.990788;0.144699
63;10;38.277334;0.132591
64;0;30.963782;0.782684
64;1;32.048388;0.52156
64;2;32.914708;0.391546
64;3;33.688268;0.313257
64;4;34.67511;0.260998
64;5;36.158092;0.223727
64;6;36.133386;0.195712
64;7;38.299164;0.173977
64;8;40.330726;0.156619
64;9;42.3398;0.142463
64;10;38.912206;0.130525
65;0;31.325826;0.770785
65;1;32.058012;0.513826
65;2;32.87458;0.385271
65;3;33.769506;0.308318
65;4;34.957152;0.256915
65;5;35.660188;0.220284
65;6;36.148756;0.192712
65;7;38.07352;0.171433
65;8;40.050594;0.154309
65;9;42.600886;0.140218
65;10;38.875936;0.128508
66;0;31.259092;0.759185
66;1;32.069112;0.505927
66;2;32.88293;0.379521
66;3;32.922254;0.303658
66;4;34.820416;0.253032
66;5;36.072726;0.216884
66;6;35.732556;0.189774
66;7;38.537726;0.16881
66;8;40.209954;0.151929
66;9;42.83494;0.138036
66;10;37.951356;0.126566
67;0;31.351038;0.747535
67;1;32.056478;0.49836
67;2;32.222628;0.374121
67;3;32.805728;0.299218
67;4;34.384892;0.249332
67;5;35.401246;0.21367
67;6;36.209682;0.186924
67;7;38.01875;0.166199
67;8;39.771;0.149649
67;9;42.791464;0.136009
67;10;38.829568;0.124683
68;0;31.402258;0.736535
68;1;31.997628;0.49116
68;2;32.727332;0.368321
68;3;32.492704;0.294678
68;4;34.80362;0.245732
68;5;35.792926;0.210527
68;6;36.19485;0.184299
68;7;37.534484;0.163855
68;8;40.113094;0.147389
68;9;42.951524;0.134027
68;10;38.194362;0.122958
69;0;31.378652;0.725785
69;1;31.97363;0.484094
69;2;32.755492;0.363046
69;3;33.267236;0.290478
69;4;35.039502;0.242182
69;5;35.911286;0.207542
69;6;35.66741;0.181587
69;7;38.230586;0.161433
69;8;39.973268;0.145279
69;9;42.77959;0.132109
69;10;38.40647;0.121075
70;0;30.989586;0.715786
70;1;31.855018;0.477094
70;2;32.820234;0.357871
70;3;33.507342;0.286278
70;4;34.883636;0.238648
70;5;36.15865;0.204442
70;6;36.038668;0.178924
70;7;38.474296;0.159133
70;8;40.287784;0.143179
70;9;43.596652;0.130272
70;10;38.774474;0.119375
71;0;31.369366;0.705586
71;1;32.00549;0.470227
71;2;32.836926;0.352996
71;3;33.195574;0.282338
71;4;34.145222;0.235282
71;5;35.980806;0.201656
71;6;36.06324;0.176449
71;7;38.146562;0.156855
71;8;40.681524;0.141229
71;9;42.61894;0.128409
71;10;38.699366;0.117675
72;0;30.889898;0.696186
72;1;31.771276;0.463927
72;2;32.812722;0.348147
72;3;33.223976;0.278358
72;4;34.795828;0.231898
72;5;35.289696;0.198856
72;6;36.1394;0.173974
72;7;38.39558;0.15471
72;8;40.550988;0.139229
72;9;43.484968;0.126636
72;10;38.671664;0.116091
73;0;31.27012;0.686436
73;1;32.025432;0.457494
73;2;33.003296;0.343172
73;3;33.238788;0.274678
73;4;35.000092;0.228865
73;5;36.018224;0.196285
73;6;36.003518;0.171649
73;7;37.634402;0.15261
73;8;39.956774;0.137359
73;9;43.098448;0.124927
73;10;38.8001;0.114491
74;0;31.280466;0.676886
74;1;32.047856;0.451327
74;2;32.938908;0.338422
74;3;33.404928;0.270838
74;4;34.725368;0.225732
74;5;35.71802;0.193556
74;6;36.148854;0.169399
74;7;38.502084;0.150533
74;8;39.99475;0.135509
74;9;42.538528;0.123136
74;10;38.553304;0.112916
75;0;30.790524;0.667837
75;1;31.136768;0.445461
75;2;32.772046;0.334172
75;3;32.92806;0.267198
75;4;34.745434;0.222699
75;5;35.832326;0.191099
75;6;35.32162;0.167087
75;7;38.324528;0.148499
75;8;39.94234;0.133689
75;9;42.960162;0.121545
75;10;38.549454;0.111425
76;0;31.304956;0.659187
76;1;31.97431;0.439461
76;2;32.916104;0.329747
76;3;33.180662;0.263718
76;4;34.832712;0.219732
76;5;35.810936;0.188585
76;6;36.132802;0.164899
76;7;38.162272;0.146577
76;8;40.292216;0.131939
76;9;43.053306;0.11989
76;10;38.57025;0.109975
77;0;30.799016;0.650687
77;1;31.909652;0.433694
77;2;33.076042;0.325297
77;3;34.190188;0.260278
