k;d;avg;% of mispr
39;6;50.180816;0.315119
39;7;52.931759;0.28011
39;8;52.45912;0.251408
39;9;55.427976;0.460927
39;10;57.068303;0.419625
40;0;40.571203;1.236705
40;1;40.910753;0.821421
40;2;43.099656;0.614541
40;3;42.71192;0.491129
40;4;43.762581;0.409004
40;5;47.266013;0.3504
40;6;50.247616;0.306515
40;7;52.208045;0.274231
40;8;52.313682;0.245683
40;9;55.828268;0.550867
40;10;57.077159;0.435051
41;0;40.665578;1.206849
41;1;39.395859;0.80174
41;2;42.953644;0.599866
41;3;42.652852;0.479474
41;4;45.840587;0.399295
41;5;46.95867;0.341974
41;6;50.301971;0.300059
41;7;51.687749;0.266837
41;8;52.203571;0.239883
41;9;55.696133;0.512696
41;10;56.90448;0.39885
42;0;40.405071;1.178735
42;1;42.256001;0.782789
42;2;42.979707;0.585974
42;3;42.778046;0.46831
42;4;45.896066;0.390066
42;5;47.142072;0.334021
42;6;50.313939;0.293158
42;7;52.638352;0.25991
42;8;52.406432;0.234529
42;9;54.699545;0.620647
42;10;57.132614;0.391819
43;0;40.352786;1.151722
43;1;40.760337;0.764824
43;2;42.952802;0.572503
43;3;42.709685;0.457821
43;4;45.828105;0.380996
43;5;46.789841;0.326459
43;6;50.117196;0.28631
43;7;52.77054;0.254641
43;8;52.308721;0.228894
43;9;55.225126;0.420471
43;10;57.956302;0.55101
44;0;40.623691;1.125726
44;1;40.822546;0.747719
44;2;42.940885;0.559723
44;3;42.527269;0.447318
44;4;45.586058;0.372555
44;5;46.806542;0.319233
44;6;50.31059;0.280047
44;7;52.689991;0.248973
44;8;52.265985;0.223322
44;9;55.278332;0.436388
44;10;55.743117;0.421266
45;0;40.32933;1.100986
45;1;39.627047;0.731878
45;2;42.947396;0.547615
45;3;42.585389;0.437631
45;4;45.57563;0.364512
45;5;46.838074;0.31229
45;6;49.962054;0.273909
45;7;52.807483;0.243527
45;8;52.312682;0.218602
45;9;55.026926;0.401011
45;10;56.783708;0.386694
46;0;40.770454;1.077458
46;1;40.75083;0.715776
46;2;42.895445;0.53595
46;3;42.385557;0.428303
46;4;39.049796;0.35675
46;5;40.249216;0.305629
46;6;43.789104;0.267526
46;7;52.799406;0.23881
46;8;52.131559;0.213942
46;9;54.385882;0.473839
46;10;56.795891;0.380976
47;0;40.395359;1.054701
47;1;40.73601;0.700744
47;2;42.68457;0.525183
47;3;35.876884;0.419316
47;4;45.657757;0.349236
47;5;46.82474;0.299225
47;6;50.115353;0.261785
47;7;52.750564;0.233445
47;8;52.165252;0.209747
47;9;55.028732;0.375958
47;10;56.743215;0.371369
48;0;41.767895;1.033212
48;1;40.754646;0.686418
48;2;42.842614;0.513886
48;3;42.555208;0.41089
48;4;45.689087;0.342122
48;5;46.897246;0.29309
48;6;46.032155;0.257608
48;7;52.739735;0.228002
48;8;50.617207;0.205166
48;9;55.643073;0.50523
48;10;56.53874;0.335984
49;0;38.95868;1.012959
49;1;40.487606;0.672633
49;2;42.709593;0.503656
49;3;42.442333;0.402579
49;4;43.784754;0.33541
49;5;46.883488;0.287271
49;6;50.096081;0.251389
49;7;52.709388;0.223919
49;8;51.998749;0.201466
49;9;55.413726;0.471974
49;10;56.385701;0.343647
50;0;40.51503;0.992151
50;1;39.671639;0.659664
50;2;43.006169;0.493845
50;3;42.34081;0.394756
50;4;45.723247;0.32865
50;5;46.811036;0.281677
50;6;50.088102;0.246413
50;7;52.666264;0.219533
50;8;52.061623;0.197534
50;9;54.860569;0.362833
50;10;56.298176;0.329541
51;0;33.72842;0.973567
51;1;40.640622;0.646665
51;2;42.817418;0.484195
51;3;42.339712;0.387142
51;4;45.665135;0.32246
51;5;44.276339;0.276416
51;6;50.029468;0.242185
51;7;52.693619;0.215589
51;8;51.437709;0.193649
51;9;55.656636;0.515305
51;10;56.850329;0.383635
52;0;39.92494;0.954651
52;1;40.756634;0.634385
52;2;42.833497;0.475125
52;3;38.476397;0.379907
52;4;44.023255;0.316293
52;5;46.729319;0.271001
52;6;50.026368;0.237109
52;7;52.565632;0.211609
52;8;50.42812;0.190026
52;9;54.829345;0.370826
52;10;56.403645;0.361765
53;0;40.329178;0.936935
53;1;34.00374;0.622654
53;2;42.75529;0.466243
53;3;35.74648;0.372708
53;4;43.885074;0.310449
53;5;46.630142;0.266418
53;6;49.915629;0.232716
53;7;50.657248;0.207479
53;8;51.936304;0.186198
53;9;54.98689;0.365615
53;10;44.537484;0.350926
54;0;34.823568;0.921298
54;1;30.488466;0.61379
54;2;42.760607;0.457808
54;3;42.325675;0.365853
54;4;45.695595;0.304775
54;5;46.647048;0.261108
54;6;50.031922;0.228592
54;7;52.687126;0.203151
54;8;51.986837;0.182735
54;9;56.411175;0.358838
54;10;56.323907;0.324519
55;0;40.462864;0.90331
55;1;40.419509;0.600244
55;2;41.300132;0.449639
55;3;42.408696;0.359514
55;4;45.672741;0.29931
55;5;46.447949;0.256498
55;6;49.840994;0.224459
55;7;45.954924;0.199893
55;8;52.020225;0.180139
55;9;55.014411;0.386787
55;10;56.25858;0.302699
56;0;39.92518;0.887922
56;1;40.65333;0.589699
56;2;42.646737;0.441943
56;3;42.441028;0.353109
56;4;45.211272;0.294119
56;5;46.532581;0.25208
56;6;49.16821;0.220506
56;7;52.677639;0.196368
56;8;51.921747;0.176829
56;9;55.255683;0.470865
56;10;56.351131;0.289959
57;0;40.202948;0.871681
57;1;40.7237;0.579802
57;2;42.75825;0.434007
57;3;42.422364;0.346944
57;4;45.545241;0.289003
57;5;46.527622;0.24763
57;6;48.389932;0.217018
57;7;52.677099;0.192971
57;8;51.873056;0.173292
57;9;54.487985;0.312734
57;10;56.288943;0.285345
58;0;40.265621;0.856938
58;1;40.785231;0.569672
58;2;41.102764;0.426674
58;3;42.290161;0.341156
58;4;44.076949;0.284302
58;5;46.680097;0.243448
58;6;49.037267;0.214153
58;7;52.686827;0.190048
58;8;51.965217;0.170709
58;9;54.622745;0.333081
58;10;56.340884;0.287502
59;0;40.192077;0.842437
59;1;40.60114;0.560223
59;2;42.763305;0.419559
59;3;42.173195;0.335473
59;4;45.46339;0.279465
59;5;46.569197;0.239581
59;6;49.922454;0.209935
59;7;52.585031;0.186572
59;8;51.748104;0.168208
59;9;54.673192;0.309667
59;10;56.099153;0.3061
60;0;40.058335;0.828735
60;1;40.552617;0.550933
60;2;42.72601;0.412634
60;3;42.18818;0.329856
60;4;45.576628;0.275039
60;5;46.570768;0.235614
60;6;49.74931;0.206055
60;7;52.573642;0.183162
60;8;51.883477;0.1651
60;9;52.026565;0.391779
60;10;56.488084;0.353364
61;0;40.329355;0.815096
61;1;33.920128;0.542644
61;2;42.809348;0.405976
61;3;42.300172;0.324597
61;4;45.692896;0.270369
61;5;46.467627;0.231684
61;6;47.765479;0.203211
61;7;50.98097;0.18056
61;8;51.862648;0.162486
61;9;54.514161;0.292925
61;10;56.422746;0.346182
62;0;40.357505;0.802163
62;1;38.941079;0.534728
62;2;42.315811;0.399566
62;3;42.110119;0.319412
62;4;45.536759;0.26607
62;5;46.491434;0.228016
